siteid,lon,lat,AQI
2463A,111.4733,27.2317,149
2464A,111.4908,27.2582,129
1737A,111.4917,36.0417,360
1736A,111.5025,36.0875,254
1734A,111.5028,36.0714,252
3018A,111.505,36.10139,231
1735A,111.5169,36.0822,298
2462A,111.5239,27.3033,82
2514A,111.5269,24.4175,150
1096A,111.551,40.7866,113
1733A,111.5531,36.0783,265
2515A,111.5622,24.4072,137
2481A,111.5989,26.4519,159
2480A,111.5992,26.4364,138
1093A,111.608,40.8144,144
2478A,111.6156,26.4214,150
2477A,111.6217,26.2081,190
1090A,111.651,40.7579,125
1091A,111.658,40.8033,145
1092A,111.659,40.8452,134
3141A,111.6625,29.0531,219
3140A,111.6892,28.9881,120
1854A,111.6975,28.9703,83
3139A,111.7153,29.0289,110
1857A,111.7158,29.1456,129
1097A,111.717,40.7612,124
1095A,111.7277,40.8062,149
1094A,111.751,40.8369,118
1701A,111.9494,21.865,49
1700A,111.9508,21.8536,53
2490A,111.9561,27.7569,38
2491A,111.9892,27.7044,55
2488A,111.9975,27.725,45
2487A,111.9975,27.725,38
2489A,112.0194,27.7314,38
1713A,112.0369,22.9394,77
1712A,112.0392,22.9169,72
1714A,112.0539,22.9539,79
2433A,112.1392,32.0564,196
2432A,112.155,32.0197,179
2434A,112.1825,32.1142,208
3012A,112.1908,31.03389,200
2440A,112.1969,30.9892,175
2439A,112.2014,31.0483,198
1845A,112.2068,30.3515,156
2441A,112.2211,31.0386,203
1844A,112.2551,30.3175,176
1846A,112.2887,30.3055,169
2470A,112.3347,28.6047,90
2469A,112.3439,28.56,140
2468A,112.3458,28.5808,139
1811A,112.3628,34.6692,189
2471A,112.3744,28.5819,122
1816A,112.3844,34.6231,160
1812A,112.3939,34.6511,193
2467A,112.4067,28.6428,156
2169A,112.4078,39.3265,139
2168A,112.4254,39.3179,144
1397A,112.427,23.0706,78
1817A,112.4275,34.6258,192
2170A,112.4279,39.3673,119
1083A,112.434,38.0108,132
2166A,112.44,39.3514,112
3022A,112.4433,34.6686,176
2167A,112.4549,39.3606,124
1814A,112.4664,34.6869,169
1084A,112.469,37.7124,101
1398A,112.471,23.0528,70
1400A,112.4722,23.0786,60
1815A,112.4831,34.6869,173
1564A,112.4876,27.9164,50
2405A,112.5003,32.9735,200
2403A,112.5192,32.9917,192
1081A,112.522,37.8873,127
